index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,40580.4,2010-01-27T01:02:52,0.4187512507504503,,,2.8,3.82075e-16,7.65375e-16,5.0634999999999996e-17,0.9719999999999999
1,75682.2,2010-01-29T14:46:35,-0.3062837702621573,,,2.6,4.9125e-17,2.0455e-16,1.38175e-17,0.542
2,171955.9,2012-01-18T14:26:38,-0.5283189850475759,5.813e-05,1.98e-05,8.4,2.2349e-16,4.7935e-16,9.278e-17,1.4739999999999998
6,160215.7,2012-01-21T08:54:47,1.0609159626500668,9.913e-05,1.055e-05,8.0,7.15998e-15,1.0965062e-14,3.3624259999999996e-15,1.464
3,75554.3,2012-01-26T22:21:59,-0.12512512512512514,0.0001959,9.469e-06,6.2,3.7702499999999995e-16,8.56825e-16,1.5417499999999999e-16,1.376
4,184208.0,2012-01-31T15:24:33,0.19855795895729336,8.751666666666668e-05,3.231e-06,12.0,6.447749999999999e-16,9.2345e-16,3.6395000000000003e-16,2.156
5,158013.8,2012-02-03T10:00:00,0.5124361719650798,9.057999999999999e-05,6.409e-06,7.8,8.178e-17,2.04992e-16,4.3038e-17,1.378
7,119470.1,2012-04-04T03:00:56,1.608386761393173,,,4.0,1.5261999999999998e-16,7.097800000000001e-16,4.8496e-17,1.052
9,46277.9,2012-04-05T19:03:53,1.9733115468409586,,,1.6,6.79e-16,2.1907200000000002e-15,1.6416000000000001e-16,0.76
8,69686.1,2012-04-06T18:15:48,-1.0,,,2.0,2.2315e-16,6.398499999999999e-16,6.973e-17,0.624
